182,DEF,angsaraq,skiff,form) 
184,POST,{-aq see -q} +’(g)aqe- to usually V; to repeatedly V; to habitually V # used primarily in continuing narrative with other conditions stated or implied; > -qaqe-; < PE pb. 9a3 and 9aq0nere-,to eat,
185,DEF,ner’aquq,he would eat . . .,
186,POST,qia-,to cry,
187,DEF,qiagaquq,he would cry . . .,
188,POST,qavar-,to sleep,
189,DEF,qavaraquq (or qava’arquq),he would sleep,
190,DEF,Waten akutaq avuluni atsayagarnek assiraquq.,"The Eskimo ice cream is usually good with raisins mixed in like this.’Tua-llu-gguq ’taukut ’uitaaqellriit ’tuani ’nem’i. And ’so, ’it ’is ’said ’that ’they ’would ’stay ’in ’that house.’Kaigaqami ’ner’aquq ’nervigmi. Whenever ’he ’got ’hungry ",3a3 
191,DEF,neqkaq,food,
192,DEF,neqkaar,little piece or quantity of food’; neqkaaraat little pieces or quantity of food,
193,DEF,yualuq,sinew,
194,DEF,yualuar,little piece of sinew,
195,DEF,Yugngalnguq,"Asian’, Latin",
196,DEF,Yugngalnguar,"Asian’, Latin",meaning) 
197,DEF,equk,wood,
198,DEF,equaraq,little stick,form) 
199,DEF,ciamruq,driftwood,
200,DEF,ciamruaraq,little piece of driftwood,form) 
202,DEF,-ar(ar)- — -ar(ar)te-1 ciimaq,stone,
203,DEF,ciimaaraq,little piece of stone,form) 
204,DEF,ungungssiq,animal,the 
205,DEF,unuakuar(mi),(in) the early morning,
206,DEF,ataku(mi),(in) the evening,
207,DEF,atakuar(mi),(in) the early evening,
208,POST,"+’(g)ar(ar)- meaning dependent on type of noun or verb base on which this postbase is used # cf. -ar(aq*); > -nritar(ar)-, -qtar(ar)With active verbs other than those involving the use of particular garments, the meaning is to just barely V; to hardly V; to gradually V; leisurely V eritar-",to pluck,
209,DEF,eritarararaa,"she is hardly plucking it, removing only a few feathers’; she is leisurely plucking it",
210,POST,atrar-,to go down,
211,DEF,atraartuq,"he is going down a little at a time, leisurely",
212,POST,utaqalgir-,to wait,
213,DEF,utaqalgiartuq,he is waiting patiently,
214,POST,"With verbs involving the use of particular garments, or with nouns for garments, the meaning is to go only by V-ing or only with N (which is barely adequate for conditions): tanglur-",to snowshoe,
215,DEF,tanglura’artuq,he’s going using only snowshoes’; tanglurarallruuq he had gone using only snowshoes,
216,DEF,kamilar- (root),being barefoot,
217,DEF,kamilara’artuq,he,going 
218,DEF,kameksak,skin boots,
219,DEF,kameksaga’arluni,going using only skin boots,
220,DEF,inartessuun,pajamas,
221,DEF,inartessuutera’arluni,going wearing only pajamas,
222,DEF,sap’akiq,shoe,
223,DEF,sap’akirara’arluni,going wearing only shoes,boots) 
224,DEF,suukiiq,sock,
225,DEF,suukiirara’arluni,going wearing only socks,
226,DEF,kemek,flesh,
227,DEF,kemgararallruuq,"he went in the flesh, partially or totally naked’; kengara’arluni (he) going in the flesh",
229,POST,"With adjectival verbs ending in te-, this postbase means to be a little V [but with adjectival verbs not ending this way, the postbase -ur(ar)- (q.v.) is used for meaning]. nanite-",to be short,
230,DEF,nanita’rtuq or nanitarartuq,it is a little short,
231,POST,kemgite-,to be skinny,
232,DEF,kemgita’artuq,he is little skinny,
233,POST,usviite-,to be crazy,
234,DEF,usviita’rtuq,he’s a little crazy,
235,POST,"@+(g)ar(ar)te-1 to suddenly or immediately V; to V with short duration of action The (ar) of this postbase will almost always be deleted, but its effects are seen in vowel length and stress; and see the second part of the first example below; this postbase (and the postbase -ur(ar)-) are the only postbases where (ar)- deletion occurs in NSU; when used with bases of the form (C)VCt’e-, this postbase changes t’e to s (y in HBC), but when used with longer bases ending in te, the te is dropped; this postbase keeps base-final g, but drops base-final r; this postbase is often used along with the postbase -nge-",to begin to V’; see “Gemination and/or ,and/or 
239,POST,"Syncope within the Base with Postbases Expressing Suddenness” in the Introduction to the Postbase, and see last sentence example below; < PY pb. a3a3t0alikenge-",to become afraid of,
240,DEF,alikenga’artaqa,I suddenly became afraid of it’alikengararutaqa I ’suddenly ’became ’afraid ’of ’what ’might ’happen ’to him,
241,POST,kepe-,to sever,
242,DEF,kep’a’rtuq,"it severed completely through, the last strand broke’, it snapped",
243,POST,tangvautenge-,to begin to look at each other,
244,DEF,tangvautenga’artuk,they2 suddenly began to look at each other,
245,POST,mit’e-,to alight,
246,DEF,mis’a’rtuq,"it suddenly alit, landed",
247,POST,qet’e-,to put arms around,
248,DEF,qes’artaa,he hugged her quickly and released her immediately,
249,POST,makete-,to rise,
250,DEF,mak’artukut,we suddenly sat up in bed,
251,POST,puge-,to come to the surface,
252,DEF,pug’a’rtuq,it suddenly surfaced,
253,POST,uu-,to cook,
254,DEF,uuga’rtuq,it cooked fast,
255,POST,ciite-,to smash,
256,DEF,ciigartaa,he quickly smashed it,
257,POST,nuliqsagute-,to get as a wife,
258,DEF,nuliqsaguartaa,he swiftly got her as his wife,
259,POST,uterte-,to return,
260,DEF,ut’ra’rtuq,he went and came back shortly,
261,POST,qakegte-,to lift one’s garment,
262,DEF,qakga’rtuq,she quickly lifted up her skirt and let it down again,
263,POST,ayag-,to leave,
264,DEF,ayaga’rtuq,it fled,
265,POST,tupag-,to wake up,
266,DEF,tupaga’rtuq,he suddenly woke up,
267,POST,igvar-,to appear,
268,DEF,igvaartuq,"he appeared suddenly, popped into view",
269,POST,a¥g’ar-,"to get out of the way, to come off",
270,DEF,a¥gaartuq,"he immediately got out of the way, it suddenly came off",
271,POST,takuyar-,to turn one’s head,
272,DEF,takuyaartuq,he suddenly turned his head,
273,DEF,Ellimellrani mertaasqelluku nasaurluum niigartaa.,"When he told her to fetch water the girl responded immediately.’Paqnayuum ’ugaani ’mikelnguq ’taiga’rtuq. Driven ’by ’curiosity, ’the ’child ’quickly ’came over.’Itran ’qil’ungartaa ’taum ’qimugkauyaraam When ’he ’came ’in ’that ’puppy ’started ",ii 
274,DEF,iinga’rtuq,it was hit right in the eye’; iingartaa he hit it right in the eye,
275,DEF,iruq,leg,
276,DEF,iruartaa,he hit it on the leg,
277,DEF,nasquq,head,
278,DEF,nasqurra’artaa or nasquartaa,he hit it on the head,
280,DEF,-arkaq — -arkauyaquq,wing,
281,DEF,Postbases yaq¥rrartaa,he hit it on the wing,
282,DEF,Yaquleyagaam puukaraa qamiqurra’arrluku piyuanginanrani.,"A little bird flew into him, hitting him right in the head as he was walking.",catch 
283,DEF,pitarkaq,"game animal, quarry",
284,POST,cali-,to work,
285,DEF,caliarkaq,task to be done,
286,POST,ekua-,to burn,
287,DEF,ekuagarkaq,thing to be burned’; burnt offering (in the Bible),
288,POST,atur-,"to wear, to sing",
289,DEF,aturarkaq (or atu’urkaq),"clothing to be worn, one who is to sing",
290,POST,tupig-,to weave,
291,DEF,tupigarkaq (or tupi’igkaq),"something to be woven (e.g., grass, or burlap fibers)",
292,DEF,Pitarkartaitniluni maani ayallruuq qamavet pissuryarturluni.,"Saying that there was no game — future things to catch — here, he went upriver to hunt.",(it) 
293,DEF,akutarkaqaqa,I will mix it in,(NUN) 
294,POST,mamrir-,to patch,(agentive) 
295,DEF,ner’arkauguq,he will eat or it will be eaten’; ner’arkaugaa he is supposed to eat it,
296,POST,kuve-,to spill,(patientive) 
297,DEF,kuv’arkauguq,it will be spilled’; kuv’arkaugaa he will spill it,
298,POST,ayag-,to leave,only) 
299,DEF,ayagarkauguq,he will leave,
303,POST,tuqute-,to kill,only) 
304,DEF,tuqutarkauguq,it will be killed’; tuqutarkaugaa he will kill it,
305,POST,an’gir-,to be outside,
306,DEF,an’girerkaugua or an’girkaugua,I will be outside’’(NUN) ,outside’’(NUN) 
307,DEF,Carrlulek ungungssiq egmianun nalatarkauguq.,A diseased animal must be destroyed — is a future thing to kill — immediately.,glide 
308,DEF,(c)ellu’urtuq,it slid down fast,
309,POST,kitur-,to pass,
310,DEF,kitu’urtaa,he went right on past it fast,
311,POST,yurar-,to come into view,areas) 
312,DEF,yura’artuq,it popped into view,
313,POST,?a:rute- to come to lack the quality of being V or of N-ness # < -?-te5pinir-,to be strong,
314,DEF,piniarutuq,"he has become weak’; piniarutaa it has made him weak, has sapped his strength",
315,POST,ipeg-,to be sharp,
316,DEF,ipgiarutuq,it has become dull,formation) 
317,DEF,neqae,food,
318,DEF,neqniarutuq,it has become unpalatable,
319,POST,"?ate to lack the quality of being V # non-productive; takes intransitive endings only; > -alliqe-, -ngiatepuqig-",to be intelligent,
320,DEF,puqiatuq,he is stupid,
321,POST,pinir-,to be strong,
322,DEF,piniatuq,he is weak,
323,POST,ipeg-,to be sharp,
324,DEF,ipgiatuq,it is dull,formation) 
325,POST,nuki-,to be strong,(NUN) 
326,DEF,nukgiatuq,he is weak,(NUN) 
327,POST,arenqig-,to be comfortable,
328,DEF,arenqiatuq,it is uncomfortable,
329,POST,+aur(ar)- to continue V-ing over a period of time # this postbase is used only with bases formed from the postbase -mete-/-nete- (q.v.); < -a-ur(ar)maante-,"to be here’maantaurtuq he ’is ’staying ’put ’here’; ’maantauraa stay ’put here!’tuante- to ’be there’tuantauraa stay ’put there!’nem’ete- to ’be ’in ’the house’nem’etaurtuq he ’is ’staying ’put ’in ’the house’Maantaurqaqina ’unuamek; ’tang, ’ella ’ayaganailnguq. Stay ’put ",for 
333,POST,"C {-caaqe- see -yaaqe-} @~+caar(ar)- to endeavor to V, to undertake the act of V-ing, to try to V (with a high probability of success) # changes base-final (special) te to l; for polarity information see -car-; < -car-ar(ar)-; < PE pb. ca3-1 qavange-",to begin to sleep,
334,DEF,qavangcaartuq,he is trying to sleep’; qavangcaararaa he is trying to induce her to sleep,
335,POST,assir-,to be good,
336,DEF,assircaartuq,he is behaving (well)’; assircaararaa (or assircaarautaa) he is treating her well,behave) 
337,POST,nepaite-,to be quiet,
338,DEF,nepailcaartuq,he is trying to be quiet,
339,POST,cukaite-,to be slow,
340,DEF,cukailcaarpiiqnak,"try not to be so slow!, stop being slow!",
341,POST,qessaite-,to be willing to work,
342,DEF,qessailcaartuq,he is endeavoring to be a willing worker,
343,POST,niugite-,to not rustle,
344,DEF,niugilcaarallruuq,he tried not to make any rustling noises’,
345,DEF,Qavangcaarainanrani erenrani ella teminguq qavarciigalivkarluku.,"While he was trying to sleep during the day, the air began rumbling, preventing him from sleeping.",angun 
346,DEF,angucaluq,male animal,
347,DEF,arnaq,woman,
348,DEF,arnacaluq,female animal,
349,POST,"{-caqlir- see -yaqlir-} {-caquna- see -yaquna-} {-car- see -yar-} @+car- to cause to V, to try to induce to V # with bases that end in gte or rte, the te is dropped and the g or r is replaced by k or q respectively, while with bases that end in te following a vowel, the te is dropped; used only with bases that can take intransitive endings; when used with an intransitive ending, a verb expanded by this postbase has the meaning subject causes himself to V, while with a transitive ending the meaning is subject causes object to V; cf. -ngcar-; > -caar(ar)-, -ngcar-; < PE pb. ca3-1 elite-",to learn,
350,DEF,elicartuq,he is studying,/ 
354,POST,ellange-,to acquire sense,
355,DEF,ellangcaraa,he is trying to put some sense into her,her) 
356,POST,yunge-,"to acquire a person, to get a life",
357,DEF,yungcaraa,"he is medicating her,’literally: he ’is ’trying ’to ’get ’her ’to ’acquire ’a ",(new) 
358,POST,tumarte-,to be in order,
359,DEF,tumaqcaraa,he is trying to put it in working order; he is patching it,
360,POST,kitugte-,to be fixed,
361,DEF,kitukcaraa,he is trying to fix or adjust it,
362,POST,elluarte-,to be correct,
363,DEF,elluaqcaraa,"he is correcting it, adjusting it",
364,POST,assir-,to be good,
365,DEF,assircaraa,"he is making it good, fixing it’; assircartuq he is improving himself",
366,POST,manig-,to be smooth,
367,DEF,manigcaraa,"he is ironing it, smoothing it",
368,POST,ipeg-,to be sharp,
369,DEF,ipegcaraa,he is sharpening it,
370,POST,pinir-,to be strong,
371,DEF,pinircartuq,"he is strengthening himself, building up his muscles",
372,DEF,Aturallret tumaqcarraarluki caunriumalriit ikniutekai kinguqliminun.,"After patching — tried to put together the pieces of — his old worn-out clothes, he handed them down to his younger brother.",-ar(ar)teii 
373,DEF,iica’rtuq,it got hit right in the eye’; iicartaa he hit it in the eye,/ 
374,DEF,it’gaq,foot,
375,DEF,it’gaca’artaa,he hit it in the foot,
376,DEF,yaquq,wing,
377,DEF,yaqucartaa,he hit it in the wing,
378,DEF,"Qecian ciulian, camek umyuarteqevkenani maligcuarinanrani anuqmi, iicarrluku tutaa.","While she was following him in the blowing wind without thinking of anything, his spittle hit her right in the eye.",-yaurte-} 
382,DEF,–cengaq* one with a small N # ii,eye,
383,DEF,iicengaq,one with little eyes,
384,DEF,qukaq,waist,
385,DEF,qukacengaq,wasp,(lexicalized) 
386,DEF,nunapik,tundra,
387,DEF,Nunapic’ngaq,site of the Moravian Children’s Home near Kwethluk,
388,POST,@~+cetaaq something used to cause one to V # and @~+cetaar- to try to cause one to V # the verbelaborating form is a “compound verbal postbase”; for polarity information see -ni- and Practical Grammar of . . . Yup’ik (p. 322); either the embedded verb or the derived verb or both must be transitive; drops base-final te; = -citaaq & -citaar-; < -cete1-a-; < PE pb. t0ta(C)a3Noun examples: tuqu-,to die,
389,DEF,tuqucetaaq,poison,
390,POST,nepe-,to stick,
391,DEF,nepcetaaq,"glue, tape",
392,POST,qavar-,to sleep,
393,DEF,qavarcetaaq,"sleeping pill, anesthetic",
394,POST,anar-,to defecate,
395,DEF,anarcetaaq,laxative,
396,POST,alarte-,to err,
397,DEF,alarcetaaq,person or thing that tries to lead people astray; religious cultist,
398,POST,"The following two nouns are formed from this postbase, but are lexicalized with meanings not entirely predictable from the (present-day) meaning of the postbase. nere-",to eat,
399,DEF,nercetaaq,poison,
400,POST,aru-,"to become soft, rotten",
401,DEF,arucetaaq,dried fish skin softened by chewing so it may be eaten; any skin chewed like gum,
402,POST,Verb examples: qinu-,to fuss,
403,DEF,qinucetaaraa,he is trying to provoke her,
404,POST,alinge-,to fear,
405,DEF,alingcetaaraa,he is trying to scare her,
406,POST,inarte-,to lie down,
407,DEF,inarcetaaraa,he is trying to get him to go to bed,
408,POST,pi-,to do,
409,DEF,picetaaraa,"he is provoking, tempting her",
410,DEF,Qinucetaanrilgu kinguqliin!,Don’t try to provoke your little brother!,‘to 
411,DEF,igcetaa,"he caused it to fall, dropped it",
412,POST,ayag-,to leave,
413,DEF,ayagcetaa,"he let her leave, sent her away",
414,DEF,Arnam paniminun manigcarcetai iqairat.,"The woman had her daughter iron the clothes.’This ’postbase ’can ’function ’in ’a ’purely ’formal ’sense ’without ’actually ’contributing ’to ’the ’meaning ’of ’a ’verb, ’in ’order ’to ’form ’a ’sentence ’satisfying ’the ’grammatical ’constraint ’that ’the ’subject ’of ’the ’subordinative ’verb ’be ’the ’same ’as ’the ’subject ’of ’the ’main ’verb: ’Aataka ’nererraarcelluku ’anellruunga. After ’my ’father ’ate, ’I ’went out.’literally: After ’I ’let ’my ’father ’eat, ’I ’went out.",out.’) 
418,DEF,+cete-2 to have the quality of V or N # non-productive; note that the use of this postbase is optional with certain adjectival verbs = -citetan’geq,darkness,
419,DEF,tan’gercetuq,it is dark,
420,DEF,taamlek,darkness,
421,DEF,taamlegcetuq,it is dark,
422,DEF,kiiq,heat in the air,
423,DEF,kiircetuq,it (air) is hot ,hot 
424,DEF,maqaq,warmth,
425,DEF,maqarcetuq,"it (garment, bedding, etc.) is warm",
426,POST,tanqig-,to be bright,
427,DEF,tanqigcetuq (also tanqigtuq),it is bright,
428,POST,manig-,to be smooth,
429,DEF,manigcetuq (also manigtuq),it is smooth,
430,POST,ipeg-,to be sharp,
431,DEF,ipegcetuq (also ipegtuq),it is sharp,
432,DEF,kavir- (root),redness,
433,DEF,kavircetuq,it is red,
434,DEF,keggag- (root),roughness,
435,DEF,keggagcetuq,it is rough,
436,DEF,Kiircelan ena kenirtuq ellami.,"Because the house is hot — has the quality of being hot —, she is cooking outside.",cimukaaq 
437,DEF,mukaarciuq,she is buying some flour’; mukaarcia she is buying some flour for him,
438,DEF,angyaq,boat,
439,DEF,angyarciuq,he is buying a boat,
440,DEF,tengssuun,airplane,
441,DEF,tengssuuteciuq,he is buying an airplane,
442,DEF,melugkaq,cigarette,
443,DEF,melugkarciuq,he is buying cigarettes,
444,POST,"@~+ciar(ar)- to wait patiently for object to V # not used with motion verbs; used mostly with transitive endings, but may be used with an intransitive ending in a reflexive sense; < -cir1-ar(ar)kumlate-",to be cold,
445,DEF,kumlaciararaa,he is patiently waiting for it to cool,
446,POST,nipe-,to go out,(flame) 
447,DEF,nipciararaa,he is patiently waiting for it to go out,
448,POST,"+(s)ciigali-, +(s)ciigalli- (additional NI form) to not be able to V any longer # = -sciigali-; < -ciigate-i1cali-",to work,
449,DEF,calisciigaliuq,he can’t work any longer,
450,POST,atur-,to use,
451,DEF,aturciigaliaqa,I can’t use it any longer,
452,DEF,Yaquleyagaq teqsuqairucami tengesciigaliuq.,The little bird cannot fly any more because it has lost its tail feathers.,‘to 
453,DEF,tangerciigataqa,I cannot see it,
454,POST,qavar-,to sleep,
455,DEF,qavarciigatua,I can’t sleep,
456,DEF,Qavarciigalama naaqiqatartua.,"Because I can’t sleep, I’ll read.’Pinialami ’teggalqurpak ’mumigtesciigataa. Since ’he ’is ’not ’strong, ’he ’cannot ’turn ’the ’big ’rock over.’Iingqerrsaaqut, ’ta¥gaam ’tangerciigatut; ’ciutengqerrsaaqut, ’ta¥gaam ’niitesciiganateng. They ’have ’eyes, ’but ’cannot ’see; ’they ’have ’ears, ’but ’cannot hear.",44:8) 
460,POST,{-ciiqe- see -ciqe-} @:(u)ciirute- to become unknowing concerning whether or how one is V-ing # a “compound verbal postbase”; for polarity information see -ni- and Practical Grammar of . . . Yup’ik (p. 322); < -ciq-i:rutenante-,to be where,
461,DEF,nanluciirutua,I no longer know where I am’; nanluciirutaqa I don’t know where he is anymore,
462,POST,uungu-,to be this,una) 
463,DEF,uunguciirutaqa,I become confused about it,
464,POST,"@:(u)ciite- to not know whether one is V-ing, to not know how one is with respect to V-ing # a “compound verbal postbase”; for polarity information see -ni- and Practical Grammar of . . . Yup’ik (p. 322); < -ciq-ite1nante-",to be where,
465,DEF,nanluciitua,I don’t know where I am’; nanluciitaqa I don’t know where he is,
466,POST,kituu-,to be who,
467,DEF,kituuciitaqa,I don’t know who he is,
468,POST,qavar-,to sleep,
469,DEF,qavauciitaqa,I don’t know if he slept,
470,POST,ayuqe-,to be like,
471,DEF,ayuquciitaput,we don’t know what they are like,
472,POST,uungu-,to be this,una) 
473,DEF,uunguciitaqa,I am confused about it,
474,DEF,Angutmun teguciitaqa nuussiq.,I don’t know whether the man took the knife.’Cauciitan-qaa? Are ’you ’unsure ,[e]nae 
475,DEF,nec’illeq,"worthless, tumbledown house",
476,DEF,angyaq,boat,
477,DEF,angyacilleq,old abandoned boat,
478,DEF,yuk,person,
479,DEF,yuc’illeq,"worthless person, one not worthy of being a person",
480,DEF,avayaq,branch,
481,DEF,avayacilleq,knot in wood,(lexicalized) 
482,POST,–ciller(ar)te- to unintentionally hit (it) in the N # HBC –cilli- to appear to have been V-ing; to appear to have been V-ed # with transitive endings forms “impersonal subject verbs”; < -?-lliqia-,to cry,
483,DEF,qiacilliuq (or qiacillia),he looks as if he has been crying,
